country,country_code,year,gdp_per_capita_usd,household_consumption_usd,inflation_pct,internet_users_pct,population,urban_population_pct,population_score,gdp_per_capita_usd_score,urban_population_pct_score,internet_users_pct_score,household_consumption_usd_score,inflation_risk_score,macro_potential_score,macro_score_year
Australia,AUS,2014,62817.20617517368,811077541135.4608,2.48792932080492,84.0,23475686.0,86.7221289343356,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2015,56970.36130280944,763170265181.6118,1.50836803138463,84.5605149091408,23815995.0,86.8778642539361,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2016,50084.44406063846,692585647649.3848,1.27699365720306,86.54000092,24190907.0,87.0166295249235,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2017,54117.54771860902,741878458372.0791,1.94864309065653,86.5450488476768,24592588.0,87.12809266445,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2018,57410.173734600896,794697392490.6211,1.91140002818579,90.0082016,24963258.0,87.2267680845925,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2019,55194.75850974282,759166905662.8873,1.610770929127,93.60990143,25334826.0,87.3019647888406,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2020,51983.4523666382,699531624245.6013,0.846900734607273,94.6934967,25649248.0,87.2713470458985,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2021,60758.9044397144,795156839959.7274,2.86391284709318,96.97219849,25685412.0,87.2353407632761,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2022,65169.519111865666,831768845147.2327,6.59409658717841,96.11940002,26018721.0,87.3343268253813,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2023,65058.37731466737,876316816756.1819,5.59701792296707,96.1160965,26659922.0,87.4866955653765,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Australia,AUS,2024,64603.985630846415,903687877051.534,3.16656665428797,96.13140106,27196812.0,87.6021469990446,0.06333909221488712,0.6992696847128214,0.7984414375029606,0.9385776185720434,0.04217696640338704,0.25435253691946436,0.4660262227209273,2024
Indonesia,IDN,2014,3441.068084640084,509003681729.74005,6.394928823965593,17.1431598350566,258877399.0,52.5002136230469,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
