date,country,geo,keyword,search_interest,is_partial
2023-11-01,Indonesia,ID,kimchi,38,False
2023-12-01,Indonesia,ID,kimchi,39,False
2024-01-01,Indonesia,ID,kimchi,60,False
2024-02-01,Indonesia,ID,kimchi,48,False
2024-03-01,Indonesia,ID,kimchi,42,False
2024-04-01,Indonesia,ID,kimchi,37,False
2024-05-01,Indonesia,ID,kimchi,42,False
2024-06-01,Indonesia,ID,kimchi,34,False
2024-07-01,Indonesia,ID,kimchi,43,False
2024-08-01,Indonesia,ID,kimchi,41,False
2024-09-01,Indonesia,ID,kimchi,38,False
2024-10-01,Indonesia,ID,kimchi,36,False
2024-11-01,Indonesia,ID,kimchi,34,False
2024-12-01,Indonesia,ID,kimchi,34,False
2019-01-01,Indonesia,ID,gochujang,31,False
2019-02-01,Indonesia,ID,gochujang,32,False
2019-03-01,Indonesia,ID,gochujang,29,False
2019-04-01,Indonesia,ID,gochujang,31,False
2019-05-01,Indonesia,ID,gochujang,34,False
2019-06-01,Indonesia,ID,gochujang,49,False
2019-07-01,Indonesia,ID,gochujang,81,False
2019-08-01,Indonesia,ID,gochujang,37,False
2019-09-01,Indonesia,ID,gochujang,43,False
2019-10-01,Indonesia,ID,gochujang,37,False
2019-11-01,Indonesia,ID,gochujang,34,False
2019-12-01,Indonesia,ID,gochujang,39,False
2020-01-01,Indonesia,ID,gochujang,39,False
2020-02-01,Indonesia,ID,gochujang,40,False
2020-03-01,Indonesia,ID,gochujang,47,False
2020-04-01,Indonesia,ID,gochujang,84,False
2020-05-01,Indonesia,ID,gochujang,100,False
2020-06-01,Indonesia,ID,gochujang,87,False
2020-07-01,Indonesia,ID,gochujang,68,False
2020-08-01,Indonesia,ID,gochujang,49,False
2020-09-01,Indonesia,ID,gochujang,46,False
2020-10-01,Indonesia,ID,gochujang,58,False
2020-11-01,Indonesia,ID,gochujang,46,False
2020-12-01,Indonesia,ID,gochujang,59,False
2021-01-01,Indonesia,ID,gochujang,67,False
2021-02-01,Indonesia,ID,gochujang,67,False
2021-03-01,Indonesia,ID,gochujang,65,False
2021-04-01,Indonesia,ID,gochujang,67,False
2021-05-01,Indonesia,ID,gochujang,66,False
2021-06-01,Indonesia,ID,gochujang,65,False
2021-07-01,Indonesia,ID,gochujang,75,False
2021-08-01,Indonesia,ID,gochujang,57,False
2021-09-01,Indonesia,ID,gochujang,41,False
2021-10-01,Indonesia,ID,gochujang,43,False
2021-11-01,Indonesia,ID,gochujang,38,False
2021-12-01,Indonesia,ID,gochujang,48,False
2022-01-01,Indonesia,ID,gochujang,44,False
2022-02-01,Indonesia,ID,gochujang,46,False
2022-03-01,Indonesia,ID,gochujang,45,False
2022-04-01,Indonesia,ID,gochujang,48,False
2022-05-01,Indonesia,ID,gochujang,38,False
2022-06-01,Indonesia,ID,gochujang,40,False
2022-07-01,Indonesia,ID,gochujang,44,False
2022-08-01,Indonesia,ID,gochujang,39,False
2022-09-01,Indonesia,ID,gochujang,35,False
2022-10-01,Indonesia,ID,gochujang,39,False
2022-11-01,Indonesia,ID,gochujang,37,False
2022-12-01,Indonesia,ID,gochujang,66,False
2023-01-01,Indonesia,ID,gochujang,59,False
2023-02-01,Indonesia,ID,gochujang,50,False
2023-03-01,Indonesia,ID,gochujang,54,False
2023-04-01,Indonesia,ID,gochujang,55,False
2023-05-01,Indonesia,ID,gochujang,48,False
2023-06-01,Indonesia,ID,gochujang,43,False
2023-07-01,Indonesia,ID,gochujang,44,False
2023-08-01,Indonesia,ID,gochujang,35,False
2023-09-01,Indonesia,ID,gochujang,34,False
2023-10-01,Indonesia,ID,gochujang,34,False
2023-11-01,Indonesia,ID,gochujang,34,False
2023-12-01,Indonesia,ID,gochujang,38,False
2024-01-01,Indonesia,ID,gochujang,35,False
2024-02-01,Indonesia,ID,gochujang,28,False
2024-03-01,Indonesia,ID,gochujang,31,False
2024-04-01,Indonesia,ID,gochujang,30,False
2024-05-01,Indonesia,ID,gochujang,32,False
2024-06-01,Indonesia,ID,gochujang,29,False
2024-07-01,Indonesia,ID,gochujang,29,False
2024-08-01,Indonesia,ID,gochujang,32,False
2024-09-01,Indonesia,ID,gochujang,30,False
2024-10-01,Indonesia,ID,gochujang,28,False
2024-11-01,Indonesia,ID,gochujang,28,False
2024-12-01,Indonesia,ID,gochujang,27,False
2019-01-01,Indonesia,ID,tteokbokki,55,False
2019-02-01,Indonesia,ID,tteokbokki,47,False
2019-03-01,Indonesia,ID,tteokbokki,54,False
2019-04-01,Indonesia,ID,tteokbokki,60,False
2019-05-01,Indonesia,ID,tteokbokki,54,False
2019-06-01,Indonesia,ID,tteokbokki,50,False
2019-07-01,Indonesia,ID,tteokbokki,44,False
2019-08-01,Indonesia,ID,tteokbokki,39,False
2019-09-01,Indonesia,ID,tteokbokki,32,False
2019-10-01,Indonesia,ID,tteokbokki,34,False
2019-11-01,Indonesia,ID,tteokbokki,37,False
2019-12-01,Indonesia,ID,tteokbokki,45,False
2020-01-01,Indonesia,ID,tteokbokki,40,False
2020-02-01,Indonesia,ID,tteokbokki,37,False
2020-03-01,Indonesia,ID,tteokbokki,40,False
2020-04-01,Indonesia,ID,tteokbokki,77,False
2020-05-01,Indonesia,ID,tteokbokki,90,False
2020-06-01,Indonesia,ID,tteokbokki,100,False
2020-07-01,Indonesia,ID,tteokbokki,67,False
2020-08-01,Indonesia,ID,tteokbokki,48,False
2020-09-01,Indonesia,ID,tteokbokki,54,False
2020-10-01,Indonesia,ID,tteokbokki,58,False
2020-11-01,Indonesia,ID,tteokbokki,50,False
2020-12-01,Indonesia,ID,tteokbokki,65,False
2021-01-01,Indonesia,ID,tteokbokki,86,False
2021-02-01,Indonesia,ID,tteokbokki,82,False
2021-03-01,Indonesia,ID,tteokbokki,69,False
2021-04-01,Indonesia,ID,tteokbokki,77,False
2021-05-01,Indonesia,ID,tteokbokki,69,False
2021-06-01,Indonesia,ID,tteokbokki,60,False
2021-07-01,Indonesia,ID,tteokbokki,57,False
2021-08-01,Indonesia,ID,tteokbokki,44,False
2021-09-01,Indonesia,ID,tteokbokki,36,False
2021-10-01,Indonesia,ID,tteokbokki,40,False
2021-11-01,Indonesia,ID,tteokbokki,36,False
2021-12-01,Indonesia,ID,tteokbokki,36,False
2022-01-01,Indonesia,ID,tteokbokki,35,False
2022-02-01,Indonesia,ID,tteokbokki,32,False
2022-03-01,Indonesia,ID,tteokbokki,31,False
2022-04-01,Indonesia,ID,tteokbokki,37,False
2022-05-01,Indonesia,ID,tteokbokki,32,False
2022-06-01,Indonesia,ID,tteokbokki,27,False
2022-07-01,Indonesia,ID,tteokbokki,25,False
2022-08-01,Indonesia,ID,tteokbokki,22,False
2022-09-01,Indonesia,ID,tteokbokki,19,False
2022-10-01,Indonesia,ID,tteokbokki,20,False
2022-11-01,Indonesia,ID,tteokbokki,19,False
2022-12-01,Indonesia,ID,tteokbokki,19,False
2023-01-01,Indonesia,ID,tteokbokki,22,False
2023-02-01,Indonesia,ID,tteokbokki,20,False
2023-03-01,Indonesia,ID,tteokbokki,19,False
2023-04-01,Indonesia,ID,tteokbokki,20,False
2023-05-01,Indonesia,ID,tteokbokki,17,False
2023-06-01,Indonesia,ID,tteokbokki,16,False
2023-07-01,Indonesia,ID,tteokbokki,15,False
2023-08-01,Indonesia,ID,tteokbokki,15,False
2023-09-01,Indonesia,ID,tteokbokki,14,False
2023-10-01,Indonesia,ID,tteokbokki,14,False
2023-11-01,Indonesia,ID,tteokbokki,16,False
2023-12-01,Indonesia,ID,tteokbokki,16,False
2024-01-01,Indonesia,ID,tteokbokki,17,False
2024-02-01,Indonesia,ID,tteokbokki,16,False
2024-03-01,Indonesia,ID,tteokbokki,16,False
2024-04-01,Indonesia,ID,tteokbokki,16,False
2024-05-01,Indonesia,ID,tteokbokki,15,False
2024-06-01,Indonesia,ID,tteokbokki,14,False
2024-07-01,Indonesia,ID,tteokbokki,14,False
2024-08-01,Indonesia,ID,tteokbokki,13,False
2024-09-01,Indonesia,ID,tteokbokki,14,False
2024-10-01,Indonesia,ID,tteokbokki,12,False
2024-11-01,Indonesia,ID,tteokbokki,15,False
2024-12-01,Indonesia,ID,tteokbokki,15,False
2019-01-01,Indonesia,ID,korean ramen,36,False
2019-02-01,Indonesia,ID,korean ramen,44,False
2019-03-01,Indonesia,ID,korean ramen,0,False
2019-04-01,Indonesia,ID,korean ramen,42,False
2019-05-01,Indonesia,ID,korean ramen,61,False
2019-06-01,Indonesia,ID,korean ramen,44,False
2019-07-01,Indonesia,ID,korean ramen,48,False
2019-08-01,Indonesia,ID,korean ramen,57,False
2019-09-01,Indonesia,ID,korean ramen,53,False
2019-10-01,Indonesia,ID,korean ramen,71,False
2019-11-01,Indonesia,ID,korean ramen,42,False
2019-12-01,Indonesia,ID,korean ramen,51,False
2020-01-01,Indonesia,ID,korean ramen,43,False
2020-02-01,Indonesia,ID,korean ramen,68,False
2020-03-01,Indonesia,ID,korean ramen,62,False
2020-04-01,Indonesia,ID,korean ramen,60,False
2020-05-01,Indonesia,ID,korean ramen,77,False
2020-06-01,Indonesia,ID,korean ramen,72,False
2020-07-01,Indonesia,ID,korean ramen,68,False
2020-08-01,Indonesia,ID,korean ramen,58,False
2020-09-01,Indonesia,ID,korean ramen,72,False
2020-10-01,Indonesia,ID,korean ramen,47,False
2020-11-01,Indonesia,ID,korean ramen,43,False
2020-12-01,Indonesia,ID,korean ramen,54,False
2021-01-01,Indonesia,ID,korean ramen,66,False
2021-02-01,Indonesia,ID,korean ramen,53,False
2021-03-01,Indonesia,ID,korean ramen,77,False
2021-04-01,Indonesia,ID,korean ramen,60,False
2021-05-01,Indonesia,ID,korean ramen,97,False
2021-06-01,Indonesia,ID,korean ramen,69,False
2021-07-01,Indonesia,ID,korean ramen,57,False
2021-08-01,Indonesia,ID,korean ramen,36,False
2021-09-01,Indonesia,ID,korean ramen,66,False
2021-10-01,Indonesia,ID,korean ramen,47,False
2021-11-01,Indonesia,ID,korean ramen,49,False
2021-12-01,Indonesia,ID,korean ramen,59,False
2022-01-01,Indonesia,ID,korean ramen,75,False
2022-02-01,Indonesia,ID,korean ramen,65,False
2022-03-01,Indonesia,ID,korean ramen,71,False
2022-04-01,Indonesia,ID,korean ramen,73,False
2022-05-01,Indonesia,ID,korean ramen,71,False
2022-06-01,Indonesia,ID,korean ramen,73,False
2022-07-01,Indonesia,ID,korean ramen,60,False
2022-08-01,Indonesia,ID,korean ramen,58,False
2022-09-01,Indonesia,ID,korean ramen,90,False
2022-10-01,Indonesia,ID,korean ramen,71,False
2022-11-01,Indonesia,ID,korean ramen,83,False
2022-12-01,Indonesia,ID,korean ramen,74,False
2023-01-01,Indonesia,ID,korean ramen,98,False
2023-02-01,Indonesia,ID,korean ramen,62,False
2023-03-01,Indonesia,ID,korean ramen,68,False
2023-04-01,Indonesia,ID,korean ramen,100,False
2023-05-01,Indonesia,ID,korean ramen,99,False
2023-06-01,Indonesia,ID,korean ramen,78,False
2023-07-01,Indonesia,ID,korean ramen,81,False
2023-08-01,Indonesia,ID,korean ramen,77,False
2023-09-01,Indonesia,ID,korean ramen,71,False
2023-10-01,Indonesia,ID,korean ramen,58,False
2023-11-01,Indonesia,ID,korean ramen,66,False
2023-12-01,Indonesia,ID,korean ramen,88,False
2024-01-01,Indonesia,ID,korean ramen,56,False
2024-02-01,Indonesia,ID,korean ramen,40,False
2024-03-01,Indonesia,ID,korean ramen,72,False
2024-04-01,Indonesia,ID,korean ramen,78,False
2024-05-01,Indonesia,ID,korean ramen,61,False
2024-06-01,Indonesia,ID,korean ramen,81,False
2024-07-01,Indonesia,ID,korean ramen,54,False
2024-08-01,Indonesia,ID,korean ramen,53,False
2024-09-01,Indonesia,ID,korean ramen,44,False
2024-10-01,Indonesia,ID,korean ramen,79,False
2024-11-01,Indonesia,ID,korean ramen,69,False
2024-12-01,Indonesia,ID,korean ramen,71,False
2019-01-01,Indonesia,ID,bibigo,0,False
2019-02-01,Indonesia,ID,bibigo,0,False
2019-03-01,Indonesia,ID,bibigo,0,False
2019-04-01,Indonesia,ID,bibigo,0,False
2019-05-01,Indonesia,ID,bibigo,34,False
2019-06-01,Indonesia,ID,bibigo,0,False
2019-07-01,Indonesia,ID,bibigo,0,False
2019-08-01,Indonesia,ID,bibigo,0,False
2019-09-01,Indonesia,ID,bibigo,0,False
2019-10-01,Indonesia,ID,bibigo,0,False
2019-11-01,Indonesia,ID,bibigo,0,False
2019-12-01,Indonesia,ID,bibigo,0,False
2020-01-01,Indonesia,ID,bibigo,0,False
2020-02-01,Indonesia,ID,bibigo,0,False
2020-03-01,Indonesia,ID,bibigo,0,False
2020-04-01,Indonesia,ID,bibigo,24,False
2020-05-01,Indonesia,ID,bibigo,0,False
2020-06-01,Indonesia,ID,bibigo,0,False
2020-07-01,Indonesia,ID,bibigo,0,False
2020-08-01,Indonesia,ID,bibigo,0,False
2020-09-01,Indonesia,ID,bibigo,0,False
2020-10-01,Indonesia,ID,bibigo,0,False
2020-11-01,Indonesia,ID,bibigo,0,False
2020-12-01,Indonesia,ID,bibigo,23,False
2021-01-01,Indonesia,ID,bibigo,26,False
2021-02-01,Indonesia,ID,bibigo,24,False
2021-03-01,Indonesia,ID,bibigo,0,False
2021-04-01,Indonesia,ID,bibigo,34,False
2021-05-01,Indonesia,ID,bibigo,23,False
2021-06-01,Indonesia,ID,bibigo,0,False
2021-07-01,Indonesia,ID,bibigo,29,False
2021-08-01,Indonesia,ID,bibigo,0,False
2021-09-01,Indonesia,ID,bibigo,24,False
2021-10-01,Indonesia,ID,bibigo,0,False
2021-11-01,Indonesia,ID,bibigo,0,False
2021-12-01,Indonesia,ID,bibigo,35,False
2022-01-01,Indonesia,ID,bibigo,0,False
2022-02-01,Indonesia,ID,bibigo,0,False
2022-03-01,Indonesia,ID,bibigo,66,False
2022-04-01,Indonesia,ID,bibigo,45,False
2022-05-01,Indonesia,ID,bibigo,33,False
2022-06-01,Indonesia,ID,bibigo,20,False
2022-07-01,Indonesia,ID,bibigo,29,False
2022-08-01,Indonesia,ID,bibigo,34,False
2022-09-01,Indonesia,ID,bibigo,21,False
2022-10-01,Indonesia,ID,bibigo,18,False
2022-11-01,Indonesia,ID,bibigo,20,False
2022-12-01,Indonesia,ID,bibigo,22,False
2023-01-01,Indonesia,ID,bibigo,30,False
2023-02-01,Indonesia,ID,bibigo,20,False
2023-03-01,Indonesia,ID,bibigo,16,False
2023-04-01,Indonesia,ID,bibigo,25,False
2023-05-01,Indonesia,ID,bibigo,25,False
2023-06-01,Indonesia,ID,bibigo,0,False
2023-07-01,Indonesia,ID,bibigo,0,False
2023-08-01,Indonesia,ID,bibigo,43,False
2023-09-01,Indonesia,ID,bibigo,34,False
2023-10-01,Indonesia,ID,bibigo,25,False
2023-11-01,Indonesia,ID,bibigo,37,False
2023-12-01,Indonesia,ID,bibigo,42,False
2024-01-01,Indonesia,ID,bibigo,38,False
2024-02-01,Indonesia,ID,bibigo,31,False
2024-03-01,Indonesia,ID,bibigo,50,False
2024-04-01,Indonesia,ID,bibigo,25,False
2024-05-01,Indonesia,ID,bibigo,60,False
2024-06-01,Indonesia,ID,bibigo,27,False
2024-07-01,Indonesia,ID,bibigo,100,False
2024-08-01,Indonesia,ID,bibigo,94,False
2024-09-01,Indonesia,ID,bibigo,75,False
2024-10-01,Indonesia,ID,bibigo,35,False
2024-11-01,Indonesia,ID,bibigo,30,False
2024-12-01,Indonesia,ID,bibigo,39,False
2019-01-01,Malaysia,MY,korean food,70,False
2019-02-01,Malaysia,MY,korean food,77,False
2019-03-01,Malaysia,MY,korean food,85,False
2019-04-01,Malaysia,MY,korean food,75,False
2019-05-01,Malaysia,MY,korean food,81,False
2019-06-01,Malaysia,MY,korean food,80,False
2019-07-01,Malaysia,MY,korean food,76,False
2019-08-01,Malaysia,MY,korean food,72,False
2019-09-01,Malaysia,MY,korean food,71,False
2019-10-01,Malaysia,MY,korean food,77,False
2019-11-01,Malaysia,MY,korean food,78,False
2019-12-01,Malaysia,MY,korean food,88,False
2020-01-01,Malaysia,MY,korean food,68,False
2020-02-01,Malaysia,MY,korean food,71,False
2020-03-01,Malaysia,MY,korean food,49,False
2020-04-01,Malaysia,MY,korean food,31,False
2020-05-01,Malaysia,MY,korean food,40,False
2020-06-01,Malaysia,MY,korean food,72,False
2020-07-01,Malaysia,MY,korean food,84,False
2020-08-01,Malaysia,MY,korean food,82,False
2020-09-01,Malaysia,MY,korean food,83,False
2020-10-01,Malaysia,MY,korean food,55,False
2020-11-01,Malaysia,MY,korean food,58,False
2020-12-01,Malaysia,MY,korean food,73,False
2021-01-01,Malaysia,MY,korean food,45,False
2021-02-01,Malaysia,MY,korean food,44,False
2021-03-01,Malaysia,MY,korean food,78,False
2021-04-01,Malaysia,MY,korean food,79,False
